LOCATION,Country,Value,
AUS,Australia,7.3,49971.131456129
AUT,Austria,7.1,45307.5878620429
BEL,Belgium,6.9,42012.6227191016
CAN,Canada,7.4,42315.6037056806
CZE,Czech Republic,6.7,18575.2320271915
DNK,Denmark,7.6,54663.9983719195
FIN,Finland,7.6,43814.0265056965
FRA,France,6.5,37062.5335723829
DEU,Germany,7,42136.1207907991
GRC,Greece,5.4,17897.5423066801
HUN,Hungary,5.6,13090.5067287853
ISL,Iceland,7.5,61987.9263620283
IRL,Ireland,7,63036.536574266
ITA,Italy,6,30960.7315088902
JPN,Japan,5.9,38761.8181501925
KOR,Korea,5.9,29288.8704389833
LUX,Luxembourg,6.9,104349.226995645
MEX,Mexico,6.5,8744.51555912786
NLD,Netherlands,7.4,46039.1059284098
NZL,New Zealand,7.3,40818.0862112442
NOR,Norway,7.6,70460.5605323322
POL,Poland,6.1,12447.4395912808
PRT,Portugal,5.4,19991.9724878805
SVK,Slovak Republic,6.2,19991.9724878805
ESP,Spain,6.3,26523.3482221547
SWE,Sweden,7.3,51965.1571531985
CHE,Switzerland,7.5,83073.2800824812
TUR,Turkey,5.5,10894.6033779275
GBR,United Kingdom,6.8,41048.3496572292
USA,United States,6.9,58021.4004997125
BRA,Brazil,6.4,8710.09677403838
CHL,Chile,6.5,13753.592148512
EST,Estonia,5.7,18449.7771957709
ISR,Israel,7.2,37282.5305590856
LVA,Latvia,5.9,14325.5175736568
RUS,Russia,5.8,8704.89841329594
SVN,Slovenia,5.9,21678.3594670629
ZAF,South Africa,4.7,5272.5436481983
