date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2019-09-10,720,78.0,67.66666666666667,1017.1,995.0,10.0,8.799999999999999,15.666666666666666,23.366666666666664,90.2,67.83333333333333,0.0066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05-30,820,74.46666666666667,57.06666666666666,1015.05,992.8333333333334,10.0,5.2,11.4,21.0,86.66666666666667,61.70000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-06-05,752,66.60000000000001,49.6,1010.8,988.5333333333332,10.0,9.966666666666669,16.733333333333334,19.5,79.2,54.36666666666667,0.0066666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-12-30,671,26.366666666666664,19.8,1020.2,996.5,9.5,10.4,16.0,25.666666666666668,36.333333333333336,19.3,0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-11-01,825,38.7,29.83333333333333,1017.2,993.0666666666666,9.633333333333333,6.733333333333333,12.033333333333331,17.0,43.73333333333333,34.93333333333333,0.0233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015-06-23,732,75.83333333333333,60.13333333333333,1013.05,990.7333333333332,10.0,8.6,17.333333333333332,23.3,84.0,67.26666666666667,0.0433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-11-27,774,43.9,33.76666666666667,1017.25,993.8666666666668,10.0,3.9333333333333336,8.299999999999999,,56.56666666666666,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-09,805,69.10000000000001,60.26666666666667,1013.55,991.0333333333332,8.966666666666667,5.9,9.566666666666668,18.1,75.13333333333334,62.3,0.0233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-06-09,732,69.56666666666666,56.53333333333333,1008.15,985.9,9.166666666666666,5.566666666666666,13.633333333333333,18.666666666666668,84.96666666666667,58.7,0.0966666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-10-20,720,55.96666666666667,48.53333333333333,1010.3,988.3333333333334,9.5,4.1000000000000005,8.6,,64.63333333333334,48.56666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
