day_of_week,rain_drizzle,crime_count
3,0.0,0.9773371104815864
4,0.0,0.6005665722379604
5,0.0,0.6317280453257791
6,0.0,0.8498583569405099
7,0.0,1.0
1,1.0,0.6005665722379604
2,1.0,0.44192634560906513
3,1.0,0.49008498583569404
4,1.0,0.3597733711048159
5,0.0,0.5495750708215298
6,1.0,0.71671388101983
7,1.0,0.7252124645892352
1,1.0,0.6713881019830028
2,1.0,0.4702549575070821
3,0.0,0.7082152974504249
4,1.0,0.3626062322946176
5,1.0,0.7932011331444759
6,1.0,0.6543909348441926
7,0.0,0.6203966005665722
1,0.0,0.660056657223796
2,0.0,0.6572237960339944
3,0.0,0.6487252124645893
4,0.0,0.7507082152974505
5,0.0,0.9121813031161473
6,0.0,0.8130311614730878
7,1.0,0.7280453257790368
1,0.0,0.8215297450424929
2,0.0,0.6288951841359773
3,1.0,0.6203966005665722
4,0.0,0.6515580736543909
5,0.0,0.6713881019830028
6,0.0,0.5723076923076923
7,0.0,0.6523076923076923
1,0.0,0.8553846153846154
2,0.0,1.0
3,1.0,0.5292307692307693
4,1.0,0.676923076923077
5,1.0,0.68
6,0.0,0.48923076923076925
7,0.0,0.5846153846153846
1,0.0,0.40307692307692305
2,0.0,0.6461538461538462
3,1.0,0.48
4,1.0,0.6123076923076923
5,1.0,0.8492307692307692
6,1.0,0.6461538461538462
7,1.0,0.6738461538461539
1,1.0,0.7046153846153846
2,0.0,0.68
3,0.0,0.7846153846153846
4,0.0,0.6615384615384615
5,1.0,0.683076923076923
6,0.0,0.7507692307692307
7,1.0,0.676923076923077
1,1.0,0.7907692307692308
2,0.0,0.9446153846153846
3,0.0,0.6923076923076923
4,1.0,0.6276923076923077
5,1.0,0.7138461538461538
7,0.0,0.7476923076923077
7,1.0,0.6217105263157895
1,0.0,0.8980263157894737
2,0.0,0.6743421052631579
3,0.0,0.881578947368421
4,0.0,0.625
5,1.0,0.5493421052631579
6,0.0,0.5526315789473685
7,0.0,0.7631578947368421
1,1.0,0.618421052631579
2,1.0,0.5855263157894737
3,1.0,0.32894736842105265
4,1.0,0.7532894736842105
5,0.0,0.680921052631579
6,0.0,0.9802631578947368
7,1.0,0.7269736842105263
1,0.0,0.8421052631578947
2,0.0,0.6611842105263158
3,0.0,0.5855263157894737
4,1.0,0.5592105263157895
5,1.0,0.5493421052631579
6,1.0,0.5394736842105263
7,1.0,0.8256578947368421
1,0.0,0.6282894736842105
2,0.0,0.8519736842105263
3,0.0,0.5296052631578947
4,1.0,0.6546052631578947
5,0.0,0.8552631578947368
6,0.0,0.6875
7,0.0,0.7467105263157895
1,0.0,0.6677631578947368
1,0.0,0.8514285714285714
2,0.0,0.7542857142857143
3,0.0,0.7628571428571429
4,1.0,0.8
5,0.0,0.94
6,0.0,0.7685714285714286
7,0.0,0.7514285714285714
1,0.0,0.6857142857142857
2,0.0,0.7085714285714285
3,0.0,0.5
4,0.0,0.6742857142857143
5,0.0,0.7342857142857143
6,1.0,0.6457142857142857
7,0.0,0.7142857142857143
1,1.0,0.64
2,0.0,0.5228571428571429
3,0.0,0.7942857142857143
4,0.0,0.6171428571428571
5,1.0,0.7457142857142857
6,1.0,0.68
7,1.0,0.6657142857142857
1,0.0,0.8142857142857143
2,0.0,0.6742857142857143
3,0.0,0.7057142857142857
4,0.0,0.6828571428571428
5,0.0,0.68
6,0.0,0.7028571428571428
7,0.0,0.6114285714285714
1,0.0,0.6285714285714286
2,1.0,0.7657142857142857
2,0.0,0.6637168141592921
3,1.0,0.775811209439528
4,0.0,0.7522123893805309
6,0.0,0.8023598820058997
7,0.0,0.6814159292035398
1,0.0,0.855457227138643
2,0.0,0.5870206489675516
3,1.0,0.8643067846607669
4,0.0,0.6519174041297935
5,0.0,0.7197640117994101
7,1.0,0.7256637168141593
1,0.0,0.8200589970501475
2,1.0,0.6224188790560472
3,1.0,0.7640117994100295
4,1.0,0.6371681415929203
5,0.0,0.7610619469026548
6,1.0,0.8348082595870207
7,1.0,0.6784660766961652
1,0.0,0.7256637168141593
2,0.0,0.7197640117994101
3,0.0,0.5929203539823009
4,0.0,0.7551622418879056
5,0.0,0.8023598820058997
6,0.0,0.831858407079646
7,0.0,0.8525073746312685
1,1.0,0.799410029498525
2,0.0,0.6873156342182891
3,0.0,0.49852507374631266
