day_of_week,max,visib,prcp,rain_drizzle,crime_count
4,61.76666666666667,10.0,0.0,0.0,0.9773371104815864
5,60.76666666666667,10.0,0.0,0.0,0.7195467422096318
6,58.833333333333336,9.6,0.01,1.0,0.46458923512747874
7,58.26666666666667,9.733333333333333,0.015,1.0,0.3087818696883853
1,60.03333333333333,7.333333333333333,0.0,0.0,0.5949008498583569
2,67.39999999999999,7.133333333333333,0.0,1.0,0.5864022662889519
3,71.46666666666665,7.833333333333333,0.0,0.0,0.49008498583569404
4,78.10000000000001,9.966666666666669,0.0,0.0,0.44192634560906513
5,78.10000000000001,9.833333333333334,0.05,1.0,0.7082152974504249
6,65.83333333333333,9.8,0.0,0.0,0.5212464589235127
7,79.0,10.0,0.0,0.0,0.5382436260623229
1,79.0,10.0,0.0,0.0,0.5297450424929179
2,75.3,10.0,0.0,0.0,0.5552407932011332
3,63.56666666666666,10.0,0.0,0.0,0.6203966005665722
4,69.76666666666667,10.0,0.0,0.0,0.7677053824362606
5,69.76666666666667,9.966666666666669,0.0,0.0,0.5354107648725213
6,55.3,10.0,0.0,0.0,0.45609065155807366
7,60.03333333333333,10.0,0.0,0.0,0.36827195467422097
1,73.06666666666666,10.0,0.0,0.0,0.6883852691218131
2,75.96666666666667,10.0,0.0,0.0,0.6798866855524079
3,76.39999999999999,9.966666666666669,0.0766666666666666,1.0,0.7053824362606232
4,76.39999999999999,10.0,0.0033333333333333,0.0,0.6487252124645893
5,62.9,9.966666666666669,0.0,1.0,0.6572237960339944
6,67.39999999999999,9.233333333333333,0.1566666666666666,1.0,0.623229461756374
7,67.39999999999999,9.866666666666667,0.265,0.0,0.5184135977337111
1,62.5,10.0,0.0,0.0,0.6685552407932012
2,61.833333333333336,9.833333333333334,0.0033333333333333,1.0,0.3002832861189802
3,57.3,5.733333333333333,0.4866666666666666,1.0,0.3881019830028329
4,57.3,10.0,0.1,1.0,0.35127478753541075
5,56.23333333333333,9.966666666666669,0.0,1.0,0.6543909348441926
6,56.23333333333333,7.566666666666666,0.14,1.0,0.4985835694050991
6,64.8,8.433333333333332,0.0966666666666666,1.0,0.8984615384615384
7,66.43333333333334,7.766666666666667,0.87,0.0,0.42153846153846153
1,66.2,9.866666666666667,0.01,0.0,0.6215384615384615
2,75.43333333333334,10.0,0.0,0.0,0.5323076923076923
3,80.96666666666665,10.0,0.0,0.0,0.7230769230769231
4,78.03333333333333,8.533333333333333,0.2533333333333333,1.0,0.5661538461538461
5,73.13333333333334,9.866666666666667,0.2933333333333333,0.0,0.9015384615384615
6,66.56666666666666,10.0,0.0,0.0,0.4461538461538462
7,64.23333333333333,9.833333333333334,0.0,0.0,0.3446153846153846
1,71.73333333333333,10.0,0.0,0.0,0.47384615384615386
2,74.7,10.0,0.0,1.0,0.39076923076923076
3,69.7,9.033333333333331,0.04,1.0,0.5415384615384615
4,61.53333333333333,9.9,0.32,1.0,0.38153846153846155
5,66.73333333333333,9.733333333333333,0.0,0.0,0.7723076923076924
6,70.0,8.799999999999999,0.0,1.0,0.7784615384615384
7,71.5,9.066666666666666,0.29,1.0,0.676923076923077
1,82.93333333333334,9.966666666666669,0.03,0.0,0.76
2,80.76666666666667,10.0,0.0,0.0,0.6276923076923077
3,72.63333333333334,9.233333333333333,0.0,0.0,0.4369230769230769
