index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
3568,2018-06-11,1,24.0,18,6,64.36666666666666,62.5,1011.8,989.0333333333332,4.766666666666667,7.7,12.366666666666667,,70.13333333333333,60.333333333333336,0.1733333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2463,2017-04-22,6,24.0,24,4,49.0,32.56666666666667,1021.7,998.1666666666666,10.0,9.7,13.666666666666666,18.03333333333333,57.56666666666666,42.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5265,2018-08-27,1,24.0,25,8,84.63333333333334,71.46666666666667,1011.85,990.3333333333334,9.5,12.633333333333333,20.03333333333333,28.4,93.63333333333333,74.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3081,2015-05-20,3,24.0,20,5,44.43333333333334,30.53333333333333,1023.85,1000.2333333333332,9.966666666666669,7.7,13.0,18.05,53.2,40.766666666666666,0.0033333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4376,2019-07-18,4,24.0,21,7,77.7,72.93333333333334,1009.9,988.5666666666666,8.933333333333332,6.733333333333333,17.7,25.633333333333336,89.0,71.26666666666667,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3587,2015-06-12,5,24.0,10,6,64.93333333333334,61.73333333333333,1009.5,986.3666666666668,5.333333333333333,6.333333333333333,15.333333333333334,25.45,75.46666666666667,57.6,0.47,0.0,0.0,1.0,0.0,0.0,1.0,0.0
615,2018-01-28,7,24.0,19,1,34.86666666666667,27.83333333333333,1025.6,1001.8333333333334,9.8,5.066666666666666,11.633333333333333,,45.26666666666667,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3432,2017-06-05,1,24.0,19,6,69.73333333333333,56.43333333333334,1008.7,986.4,9.733333333333333,8.433333333333334,18.73333333333333,25.0,89.23333333333333,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758,2019-03-21,4,24.0,23,3,39.7,35.7,1014.6,991.1,7.3,7.866666666666667,14.666666666666666,19.666666666666668,44.53333333333333,36.13333333333333,0.0766666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
328,2015-01-15,4,24.0,18,1,21.266666666666666,14.566666666666668,1020.45,996.4666666666668,9.866666666666667,8.4,14.7,17.966666666666665,33.56666666666667,4.566666666666666,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
5088,2018-08-19,7,24.0,22,8,74.93333333333334,66.43333333333334,1014.45,992.1666666666666,9.166666666666666,4.266666666666667,11.0,,84.96666666666667,65.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4382,2018-07-18,3,24.0,24,7,71.33333333333333,55.53333333333333,1018.95,996.4666666666668,10.0,6.833333333333333,11.4,16.0,78.76666666666667,61.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2905,2018-05-12,6,24.0,15,5,48.0,44.36666666666667,1017.15,993.7666666666668,8.433333333333334,10.033333333333331,15.666666666666666,22.45,52.3,45.06666666666666,0.0166666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3328,2016-05-30,1,24.0,21,5,74.46666666666667,57.06666666666666,1015.05,992.8333333333334,10.0,5.2,11.4,21.0,86.66666666666667,61.70000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6982,2018-11-13,2,24.0,10,11,25.33333333333333,12.233333333333334,1029.95,1005.3333333333334,9.366666666666667,9.5,13.966666666666669,18.05,32.0,19.966666666666665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
570,2015-01-26,1,24.0,20,1,24.1,17.133333333333336,1015.1,990.9666666666668,9.266666666666666,6.666666666666667,14.666666666666666,21.0,35.53333333333333,16.933333333333334,0.07,1.2,0.0,0.0,1.0,0.0,0.0,0.0
6733,2017-11-02,4,24.0,33,11,47.2,45.86666666666667,1011.8,988.8333333333334,3.3666666666666667,4.5,9.966666666666669,,51.8,39.7,0.2733333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2597,2018-04-28,6,24.0,12,4,42.6,30.4,1017.4,993.4,9.966666666666669,12.533333333333331,17.366666666666667,23.0,51.86666666666667,36.63333333333333,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4512,2015-07-24,5,24.0,17,7,76.16666666666667,59.2,1015.2,993.0666666666666,9.966666666666669,4.833333333333333,14.0,21.066666666666663,85.63333333333333,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5128,2015-08-21,5,24.0,16,8,68.83333333333333,53.26666666666667,1017.05,994.6666666666666,10.0,6.266666666666667,13.0,17.966666666666665,82.03333333333333,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5039,2017-08-17,4,24.0,27,8,77.39999999999999,68.66666666666667,1007.55,985.8,9.6,11.8,19.03333333333333,25.7,84.86666666666666,70.2,0.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
506,2016-01-23,6,24.0,24,1,28.566666666666663,19.666666666666668,1023.8,999.4333333333334,9.7,5.5,12.366666666666667,19.0,34.4,19.866666666666667,0.01,1.2,0.0,0.0,1.0,0.0,0.0,0.0
1895,2016-03-26,6,24.0,23,3,41.03333333333333,32.06666666666667,1020.9,997.3,9.733333333333333,5.933333333333334,11.966666666666669,15.9,55.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7618,2015-12-12,6,24.0,15,12,53.53333333333333,49.2,1011.75,988.8333333333334,5.133333333333333,4.4,7.633333333333333,,58.56666666666666,44.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
438,2015-01-20,2,24.0,17,1,35.0,31.33333333333333,1012.75,989.1,7.2,4.1000000000000005,9.966666666666669,,41.9,24.53333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6931,2017-11-11,6,24.0,19,11,29.3,17.433333333333334,1030.9,1006.5666666666666,9.966666666666669,7.866666666666667,11.733333333333334,16.5,36.56666666666667,22.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719,2016-03-18,5,24.0,29,3,42.0,27.26666666666667,1016.55,993.2,10.0,8.133333333333333,13.3,19.266666666666666,53.6,33.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6789,2016-11-03,4,24.0,19,11,56.8,51.96666666666667,1021.65,998.1333333333332,5.833333333333333,4.266666666666667,10.6,15.0,64.93333333333334,50.43333333333334,0.2766666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1143,2015-02-21,6,24.0,15,2,22.0,12.966666666666669,1015.5,991.2333333333332,9.2,5.833333333333333,16.633333333333333,21.3,31.03333333333333,16.7,0.0033333333333333,4.1,0.0,0.0,0.0,0.0,0.0,0.0
6459,2016-10-19,3,24.0,25,10,59.9,48.63333333333333,1016.65,993.9,9.233333333333333,2.766666666666667,8.933333333333334,,72.63333333333334,49.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5665,2016-09-13,2,24.0,20,9,71.89999999999999,59.5,1016.55,994.2333333333332,10.0,6.833333333333333,12.366666666666667,16.3,85.39999999999999,58.70000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8013,2019-12-30,1,24.0,23,12,38.93333333333333,35.06666666666667,998.6,975.7333333333332,8.700000000000001,12.633333333333333,21.933333333333334,31.666666666666668,53.26666666666667,29.53333333333333,0.4766666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4841,2017-08-08,2,24.0,23,8,68.8,51.1,1020.45,997.8333333333334,10.0,3.766666666666667,8.299999999999999,14.0,83.16666666666667,55.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,2015-03-14,6,24.0,24,3,50.4,37.7,1016.45,993.3333333333334,9.0,7.899999999999999,16.033333333333335,24.3,63.366666666666674,38.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6843,2017-11-07,2,24.0,20,11,41.766666666666666,32.46666666666667,1026.15,1002.1333333333332,10.0,8.6,14.966666666666669,19.7,46.833333333333336,35.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,2016-01-17,7,24.0,17,1,9.633333333333333,-1.8,1018.15,993.5666666666666,9.866666666666667,13.066666666666668,18.7,25.73333333333333,26.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1451,2017-03-07,2,24.0,23,3,54.66666666666666,41.96666666666667,1008.3,984.9,9.666666666666666,19.83333333333333,28.7,42.66666666666666,63.833333333333336,44.43333333333334,0.2166666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
461,2018-01-21,7,24.0,24,1,40.66666666666666,38.6,1015.15,991.6666666666666,5.4,4.0,8.933333333333334,,45.36666666666667,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5924,2015-09-26,6,24.0,22,9,67.43333333333334,57.7,1023.2,1000.4,9.766666666666667,6.466666666666666,12.033333333333331,14.0,75.66666666666667,58.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7354,2015-11-30,1,24.0,18,11,40.23333333333333,30.0,1022.7,998.9666666666668,9.933333333333334,8.299999999999999,12.633333333333333,15.55,45.36666666666667,27.8,0.0033333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023,2015-04-02,4,24.0,22,4,58.56666666666666,42.56666666666667,1007.65,984.8,9.433333333333334,11.1,16.333333333333332,24.433333333333337,72.5,37.6,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3416,2016-06-03,5,24.0,19,6,70.56666666666666,52.53333333333333,1016.7,994.2333333333332,10.0,3.4333333333333336,8.6,,83.33333333333333,57.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
