,date,day_of_week,crime_count
0,2018-01-01,1,970
1,2018-01-02,2,562
2,2018-01-03,3,576
3,2018-01-04,4,602
4,2018-01-05,5,664
5,2018-01-06,6,586
6,2018-01-07,7,533
7,2018-01-08,1,621
8,2018-01-09,2,652
9,2018-01-10,3,720
10,2018-01-11,4,701
11,2018-01-12,5,707
12,2018-01-13,6,617
13,2018-01-14,7,564
14,2018-01-15,1,531
15,2018-01-16,2,614
16,2018-01-17,3,649
17,2018-01-18,4,626
18,2018-01-19,5,709
19,2018-01-20,6,731
20,2018-01-21,7,718
21,2018-01-22,1,724
22,2018-01-23,2,719
23,2018-01-24,3,613
24,2018-01-25,4,641
25,2018-01-26,5,763
26,2018-01-27,6,754
27,2018-01-28,7,671
28,2018-01-29,1,652
29,2018-01-30,2,637
30,2018-01-31,3,708
31,2018-02-01,4,741
32,2018-02-02,5,674
33,2018-02-03,6,630
34,2018-02-04,7,513
35,2018-02-05,1,543
36,2018-02-06,2,588
37,2018-02-07,3,544
38,2018-02-08,4,557
39,2018-02-09,5,505
40,2018-02-10,6,534
41,2018-02-11,7,537
42,2018-02-12,1,572
43,2018-02-13,2,646
44,2018-02-14,3,661
45,2018-02-15,4,698
46,2018-02-16,5,664
47,2018-02-17,6,605
48,2018-02-18,7,587
49,2018-02-19,1,624
50,2018-02-20,2,645
51,2018-02-21,3,640
52,2018-02-22,4,677
53,2018-02-23,5,671
54,2018-02-24,6,681
55,2018-02-25,7,657
56,2018-02-26,1,625
57,2018-02-27,2,691
58,2018-02-28,3,646
59,2018-03-01,4,833
60,2018-03-02,5,692
61,2018-03-03,6,664
62,2018-03-04,7,649
63,2018-03-05,1,665
64,2018-03-06,2,653
65,2018-03-07,3,656
66,2018-03-08,4,660
67,2018-03-09,5,745
68,2018-03-10,6,684
69,2018-03-11,7,619
70,2018-03-12,1,662
71,2018-03-13,2,639
72,2018-03-14,3,665
73,2018-03-15,4,691
74,2018-03-16,5,703
75,2018-03-17,6,777
76,2018-03-18,7,690
77,2018-03-19,1,660
78,2018-03-20,2,712
79,2018-03-21,3,689
80,2018-03-22,4,671
81,2018-03-23,5,752
82,2018-03-24,6,649
83,2018-03-25,7,677
84,2018-03-26,1,697
85,2018-03-27,2,675
86,2018-03-28,3,689
87,2018-03-29,4,629
88,2018-03-30,5,704
89,2018-03-31,6,690
90,2018-04-01,7,736
91,2018-04-02,1,674
92,2018-04-03,2,605
93,2018-04-04,3,701
94,2018-04-05,4,672
95,2018-04-06,5,695
96,2018-04-07,6,635
97,2018-04-08,7,618
98,2018-04-09,1,661
99,2018-04-10,2,714
100,2018-04-11,3,769
101,2018-04-12,4,751
102,2018-04-13,5,781
103,2018-04-14,6,689
104,2018-04-15,7,603
105,2018-04-16,1,733
106,2018-04-17,2,699
107,2018-04-18,3,627
108,2018-04-19,4,724
109,2018-04-20,5,803
110,2018-04-21,6,677
111,2018-04-22,7,698
112,2018-04-23,1,716
113,2018-04-24,2,713
114,2018-04-25,3,750
115,2018-04-26,4,733
116,2018-04-27,5,773
117,2018-04-28,6,679
118,2018-04-29,7,725
119,2018-04-30,1,791
120,2018-05-01,2,1012
121,2018-05-02,3,789
122,2018-05-03,4,742
123,2018-05-04,5,814
124,2018-05-05,6,853
125,2018-05-06,7,716
126,2018-05-07,1,805
127,2018-05-08,2,805
128,2018-05-09,3,792
129,2018-05-10,4,779
130,2018-05-11,5,729
131,2018-05-12,6,699
132,2018-05-13,7,690
133,2018-05-14,1,788
134,2018-05-15,2,743
135,2018-05-16,3,759
136,2018-05-17,4,796
137,2018-05-18,5,800
138,2018-05-19,6,759
139,2018-05-20,7,764
140,2018-05-21,1,714
141,2018-05-22,2,797
142,2018-05-23,3,781
143,2018-05-24,4,820
144,2018-05-25,5,805
145,2018-05-26,6,855
146,2018-05-27,7,882
147,2018-05-28,1,888
148,2018-05-29,2,875
149,2018-05-30,3,847
150,2018-05-31,4,842
151,2018-06-01,5,1020
152,2018-06-02,6,820
153,2018-06-03,7,835
154,2018-06-04,1,790
155,2018-06-05,2,752
156,2018-06-06,3,815
157,2018-06-07,4,767
158,2018-06-08,5,774
159,2018-06-09,6,816
160,2018-06-10,7,731
161,2018-06-11,1,749
162,2018-06-12,2,794
163,2018-06-13,3,751
164,2018-06-14,4,758
165,2018-06-15,5,843
166,2018-06-16,6,826
167,2018-06-17,7,828
168,2018-06-18,1,847
169,2018-06-19,2,795
170,2018-06-20,3,893
171,2018-06-21,4,667
172,2018-06-22,5,723
173,2018-06-23,6,839
174,2018-06-24,7,870
175,2018-06-25,1,854
176,2018-06-26,2,795
177,2018-06-27,3,828
178,2018-06-28,4,822
179,2018-06-29,5,780
180,2018-06-30,6,867
181,2018-07-01,7,984
182,2018-07-02,1,860
183,2018-07-03,2,826
184,2018-07-04,3,829
185,2018-07-05,4,842
186,2018-07-06,5,891
187,2018-07-07,6,831
188,2018-07-08,7,825
189,2018-07-09,1,802
190,2018-07-10,2,810
191,2018-07-11,3,737
192,2018-07-12,4,798
193,2018-07-13,5,819
194,2018-07-14,6,788
195,2018-07-15,7,812
196,2018-07-16,1,786
197,2018-07-17,2,745
198,2018-07-18,3,840
199,2018-07-19,4,778
200,2018-07-20,5,823
201,2018-07-21,6,800
202,2018-07-22,7,795
203,2018-07-23,1,847
204,2018-07-24,2,798
205,2018-07-25,3,809
206,2018-07-26,4,801
207,2018-07-27,5,800
208,2018-07-28,6,808
209,2018-07-29,7,776
210,2018-07-30,1,782
211,2018-07-31,2,830
212,2018-08-01,3,944
213,2018-08-02,4,854
214,2018-08-03,5,891
215,2018-08-04,6,904
216,2018-08-05,7,860
217,2018-08-06,1,803
218,2018-08-07,2,785
219,2018-08-08,3,792
220,2018-08-09,4,769
221,2018-08-10,5,858
222,2018-08-11,6,860
223,2018-08-12,7,843
224,2018-08-13,1,824
225,2018-08-14,2,829
226,2018-08-15,3,800
227,2018-08-16,4,836
228,2018-08-17,5,809
229,2018-08-18,6,912
230,2018-08-19,7,793
231,2018-08-20,1,748
232,2018-08-21,2,722
233,2018-08-22,3,851
234,2018-08-23,4,728
235,2018-08-24,5,790
236,2018-08-25,6,837
237,2018-08-26,7,792
238,2018-08-27,1,825
239,2018-08-28,2,802
240,2018-08-29,3,751
241,2018-08-30,4,821
242,2018-08-31,5,833
243,2018-09-01,6,983
244,2018-09-02,7,832
245,2018-09-03,1,777
246,2018-09-04,2,820
247,2018-09-05,3,717
248,2018-09-06,4,741
249,2018-09-07,5,730
250,2018-09-08,6,790
251,2018-09-09,7,665
252,2018-09-10,1,716
253,2018-09-11,2,692
254,2018-09-12,3,714
255,2018-09-13,4,687
256,2018-09-14,5,869
257,2018-09-15,6,809
258,2018-09-16,7,819
259,2018-09-17,1,786
260,2018-09-18,2,737
261,2018-09-19,3,762
262,2018-09-20,4,829
263,2018-09-21,5,825
264,2018-09-22,6,799
265,2018-09-23,7,735
266,2018-09-24,1,796
267,2018-09-25,2,751
268,2018-09-26,3,753
269,2018-09-27,4,708
270,2018-09-28,5,793
271,2018-09-29,6,732
272,2018-09-30,7,741
273,2018-10-01,1,919
274,2018-10-02,2,717
275,2018-10-03,3,676
276,2018-10-04,4,698
277,2018-10-05,5,655
278,2018-10-06,6,726
279,2018-10-07,7,718
280,2018-10-08,1,743
281,2018-10-09,2,746
282,2018-10-10,3,724
283,2018-10-11,4,679
284,2018-10-12,5,707
285,2018-10-13,6,744
286,2018-10-14,7,702
287,2018-10-15,1,705
288,2018-10-16,2,667
289,2018-10-17,3,690
290,2018-10-18,4,725
291,2018-10-19,5,766
292,2018-10-20,6,806
293,2018-10-21,7,644
294,2018-10-22,1,716
295,2018-10-23,2,736
296,2018-10-24,3,805
297,2018-10-25,4,721
298,2018-10-26,5,829
299,2018-10-27,6,788
300,2018-10-28,7,717
301,2018-10-29,1,723
302,2018-10-30,2,767
303,2018-10-31,3,885
304,2018-11-01,4,939
305,2018-11-02,5,786
306,2018-11-03,6,784
307,2018-11-04,7,685
308,2018-11-05,1,706
309,2018-11-06,2,763
310,2018-11-07,3,685
311,2018-11-08,4,676
312,2018-11-09,5,718
313,2018-11-10,6,651
314,2018-11-11,7,648
315,2018-11-12,1,687
316,2018-11-13,2,609
317,2018-11-14,3,639
318,2018-11-15,4,692
319,2018-11-16,5,733
320,2018-11-17,6,671
321,2018-11-18,7,630
322,2018-11-19,1,639
323,2018-11-20,2,699
324,2018-11-21,3,741
325,2018-11-22,4,543
326,2018-11-23,5,751
327,2018-11-24,6,697
328,2018-11-25,7,574
329,2018-11-26,1,562
330,2018-11-27,2,637
331,2018-11-28,3,715
332,2018-11-29,4,675
333,2018-11-30,5,751
334,2018-12-01,6,819
335,2018-12-02,7,711
336,2018-12-03,1,771
337,2018-12-04,2,724
338,2018-12-05,3,712
339,2018-12-06,4,719
340,2018-12-07,5,747
341,2018-12-08,6,739
342,2018-12-09,7,691
343,2018-12-10,1,718
344,2018-12-11,2,671
345,2018-12-12,3,759
346,2018-12-13,4,712
347,2018-12-14,5,793
348,2018-12-15,6,744
349,2018-12-16,7,751
350,2018-12-17,1,712
351,2018-12-18,2,717
352,2018-12-19,3,740
353,2018-12-20,4,788
354,2018-12-21,5,802
355,2018-12-22,6,760
356,2018-12-23,7,637
357,2018-12-24,1,610
358,2018-12-25,2,449
359,2018-12-26,3,630
360,2018-12-27,4,628
361,2018-12-28,5,725
362,2018-12-29,6,696
363,2018-12-30,7,671
364,2018-12-31,1,648
