,date,day_of_week,district,crime_count
0,2018-01-01,1,1,45
1,2018-01-01,1,2,32
2,2018-01-01,1,3,43
3,2018-01-01,1,4,60
4,2018-01-01,1,5,41
5,2018-01-01,1,6,57
6,2018-01-01,1,7,53
7,2018-01-01,1,8,65
8,2018-01-01,1,9,44
9,2018-01-01,1,10,52
10,2018-01-01,1,11,52
11,2018-01-01,1,12,37
12,2018-01-01,1,14,34
13,2018-01-01,1,15,30
14,2018-01-01,1,16,35
15,2018-01-01,1,17,34
16,2018-01-01,1,18,59
17,2018-01-01,1,19,61
18,2018-01-01,1,20,14
19,2018-01-01,1,22,29
20,2018-01-01,1,24,27
21,2018-01-01,1,25,65
22,2018-01-01,1,31,1
23,2018-01-02,2,1,37
24,2018-01-02,2,2,26
25,2018-01-02,2,3,27
26,2018-01-02,2,4,29
27,2018-01-02,2,5,28
28,2018-01-02,2,6,34
29,2018-01-02,2,7,29
30,2018-01-02,2,8,35
31,2018-01-02,2,9,19
32,2018-01-02,2,10,25
33,2018-01-02,2,11,41
34,2018-01-02,2,12,24
35,2018-01-02,2,14,19
36,2018-01-02,2,15,23
37,2018-01-02,2,16,16
38,2018-01-02,2,17,17
39,2018-01-02,2,18,37
40,2018-01-02,2,19,24
41,2018-01-02,2,20,17
42,2018-01-02,2,22,18
43,2018-01-02,2,24,13
44,2018-01-02,2,25,24
45,2018-01-03,3,1,32
46,2018-01-03,3,2,31
47,2018-01-03,3,3,27
48,2018-01-03,3,4,26
49,2018-01-03,3,5,24
50,2018-01-03,3,6,30
51,2018-01-03,3,7,37
52,2018-01-03,3,8,26
53,2018-01-03,3,9,21
54,2018-01-03,3,10,28
55,2018-01-03,3,11,32
56,2018-01-03,3,12,28
57,2018-01-03,3,14,20
58,2018-01-03,3,15,21
59,2018-01-03,3,16,25
60,2018-01-03,3,17,22
61,2018-01-03,3,18,38
62,2018-01-03,3,19,25
63,2018-01-03,3,20,6
64,2018-01-03,3,22,24
65,2018-01-03,3,24,21
66,2018-01-03,3,25,32
67,2018-01-04,4,1,37
68,2018-01-04,4,2,30
69,2018-01-04,4,3,37
70,2018-01-04,4,4,25
71,2018-01-04,4,5,23
72,2018-01-04,4,6,31
73,2018-01-04,4,7,29
74,2018-01-04,4,8,35
75,2018-01-04,4,9,26
76,2018-01-04,4,10,32
77,2018-01-04,4,11,50
78,2018-01-04,4,12,32
79,2018-01-04,4,14,25
80,2018-01-04,4,15,20
81,2018-01-04,4,16,20
82,2018-01-04,4,17,25
83,2018-01-04,4,18,28
84,2018-01-04,4,19,26
85,2018-01-04,4,20,12
86,2018-01-04,4,22,20
87,2018-01-04,4,24,11
88,2018-01-04,4,25,28
89,2018-01-05,5,1,48
90,2018-01-05,5,2,26
91,2018-01-05,5,3,32
92,2018-01-05,5,4,34
93,2018-01-05,5,5,19
94,2018-01-05,5,6,30
95,2018-01-05,5,7,40
96,2018-01-05,5,8,35
97,2018-01-05,5,9,27
98,2018-01-05,5,10,31
99,2018-01-05,5,11,44
100,2018-01-05,5,12,38
101,2018-01-05,5,14,22
102,2018-01-05,5,15,24
103,2018-01-05,5,16,24
104,2018-01-05,5,17,17
105,2018-01-05,5,18,46
106,2018-01-05,5,19,27
107,2018-01-05,5,20,14
108,2018-01-05,5,22,24
109,2018-01-05,5,24,18
110,2018-01-05,5,25,44
111,2018-01-06,6,1,33
112,2018-01-06,6,2,23
113,2018-01-06,6,3,31
114,2018-01-06,6,4,28
115,2018-01-06,6,5,21
116,2018-01-06,6,6,36
117,2018-01-06,6,7,26
118,2018-01-06,6,8,36
119,2018-01-06,6,9,17
120,2018-01-06,6,10,30
121,2018-01-06,6,11,56
122,2018-01-06,6,12,34
123,2018-01-06,6,14,13
124,2018-01-06,6,15,26
125,2018-01-06,6,16,28
126,2018-01-06,6,17,15
127,2018-01-06,6,18,33
128,2018-01-06,6,19,25
129,2018-01-06,6,20,7
130,2018-01-06,6,22,11
131,2018-01-06,6,24,21
132,2018-01-06,6,25,36
133,2018-01-07,7,1,24
134,2018-01-07,7,2,15
135,2018-01-07,7,3,16
136,2018-01-07,7,4,23
137,2018-01-07,7,5,23
138,2018-01-07,7,6,38
139,2018-01-07,7,7,29
140,2018-01-07,7,8,30
141,2018-01-07,7,9,19
142,2018-01-07,7,10,32
143,2018-01-07,7,11,58
144,2018-01-07,7,12,20
145,2018-01-07,7,14,17
146,2018-01-07,7,15,18
147,2018-01-07,7,16,16
148,2018-01-07,7,17,15
149,2018-01-07,7,18,35
150,2018-01-07,7,19,21
151,2018-01-07,7,20,10
152,2018-01-07,7,22,23
153,2018-01-07,7,24,14
154,2018-01-07,7,25,37
155,2018-01-08,1,1,38
156,2018-01-08,1,2,24
157,2018-01-08,1,3,31
158,2018-01-08,1,4,34
159,2018-01-08,1,5,26
160,2018-01-08,1,6,36
161,2018-01-08,1,7,41
162,2018-01-08,1,8,38
163,2018-01-08,1,9,22
164,2018-01-08,1,10,29
165,2018-01-08,1,11,42
166,2018-01-08,1,12,30
167,2018-01-08,1,14,21
168,2018-01-08,1,15,24
169,2018-01-08,1,16,29
170,2018-01-08,1,17,16
171,2018-01-08,1,18,27
172,2018-01-08,1,19,23
173,2018-01-08,1,20,8
174,2018-01-08,1,22,18
175,2018-01-08,1,24,19
176,2018-01-08,1,25,45
177,2018-01-09,2,1,46
178,2018-01-09,2,2,31
179,2018-01-09,2,3,37
180,2018-01-09,2,4,37
181,2018-01-09,2,5,26
182,2018-01-09,2,6,37
183,2018-01-09,2,7,36
184,2018-01-09,2,8,39
185,2018-01-09,2,9,31
186,2018-01-09,2,10,21
187,2018-01-09,2,11,47
188,2018-01-09,2,12,29
189,2018-01-09,2,14,18
190,2018-01-09,2,15,32
191,2018-01-09,2,16,24
192,2018-01-09,2,17,21
193,2018-01-09,2,18,36
194,2018-01-09,2,19,29
195,2018-01-09,2,20,13
196,2018-01-09,2,22,7
197,2018-01-09,2,24,20
198,2018-01-09,2,25,35
199,2018-01-10,3,1,41
200,2018-01-10,3,2,35
201,2018-01-10,3,3,35
202,2018-01-10,3,4,32
203,2018-01-10,3,5,31
204,2018-01-10,3,6,40
205,2018-01-10,3,7,33
206,2018-01-10,3,8,60
207,2018-01-10,3,9,32
208,2018-01-10,3,10,25
209,2018-01-10,3,11,59
210,2018-01-10,3,12,38
211,2018-01-10,3,14,29
212,2018-01-10,3,15,22
213,2018-01-10,3,16,26
214,2018-01-10,3,17,27
215,2018-01-10,3,18,38
216,2018-01-10,3,19,23
217,2018-01-10,3,20,17
218,2018-01-10,3,22,25
219,2018-01-10,3,24,18
220,2018-01-10,3,25,34
221,2018-01-11,4,1,45
222,2018-01-11,4,2,38
223,2018-01-11,4,3,24
224,2018-01-11,4,4,33
225,2018-01-11,4,5,27
226,2018-01-11,4,6,38
227,2018-01-11,4,7,33
228,2018-01-11,4,8,46
229,2018-01-11,4,9,26
230,2018-01-11,4,10,31
231,2018-01-11,4,11,49
232,2018-01-11,4,12,32
233,2018-01-11,4,14,19
234,2018-01-11,4,15,29
235,2018-01-11,4,16,28
236,2018-01-11,4,17,25
237,2018-01-11,4,18,47
238,2018-01-11,4,19,36
239,2018-01-11,4,20,9
240,2018-01-11,4,22,20
241,2018-01-11,4,24,23
242,2018-01-11,4,25,43
243,2018-01-12,5,1,50
244,2018-01-12,5,2,35
245,2018-01-12,5,3,29
246,2018-01-12,5,4,35
247,2018-01-12,5,5,28
248,2018-01-12,5,6,37
249,2018-01-12,5,7,33
250,2018-01-12,5,8,52
251,2018-01-12,5,9,24
252,2018-01-12,5,10,44
253,2018-01-12,5,11,55
254,2018-01-12,5,12,23
255,2018-01-12,5,14,20
256,2018-01-12,5,15,28
257,2018-01-12,5,16,30
258,2018-01-12,5,17,27
259,2018-01-12,5,18,44
260,2018-01-12,5,19,23
261,2018-01-12,5,20,11
262,2018-01-12,5,22,25
263,2018-01-12,5,24,20
264,2018-01-12,5,25,34
265,2018-01-13,6,1,39
266,2018-01-13,6,2,35
267,2018-01-13,6,3,25
268,2018-01-13,6,4,32
269,2018-01-13,6,5,21
270,2018-01-13,6,6,47
271,2018-01-13,6,7,26
272,2018-01-13,6,8,44
273,2018-01-13,6,9,19
274,2018-01-13,6,10,26
275,2018-01-13,6,11,37
276,2018-01-13,6,12,30
277,2018-01-13,6,14,27
278,2018-01-13,6,15,24
279,2018-01-13,6,16,16
280,2018-01-13,6,17,18
281,2018-01-13,6,18,46
282,2018-01-13,6,19,18
283,2018-01-13,6,20,13
284,2018-01-13,6,22,22
285,2018-01-13,6,24,15
286,2018-01-13,6,25,37
287,2018-01-14,7,1,27
288,2018-01-14,7,2,35
289,2018-01-14,7,3,30
290,2018-01-14,7,4,29
291,2018-01-14,7,5,31
292,2018-01-14,7,6,36
293,2018-01-14,7,7,28
294,2018-01-14,7,8,44
295,2018-01-14,7,9,26
